age,airbag,injury,restraint,sex,inimpact,modelyr,airbagAvail,year
35,20,1,3,2,9,1997,1,1998
5,20,3,3,1,12,1998,1,1998
80,20,1,3,2,0,1994,1,1998
80,30,4,0,2,12,1991,0,1998
45,-1,3,3,1,12,1992,2,1998
75,-1,3,3,2,12,1993,2,1998
20,2,3,9,2,12,1996,1,1998
70,-1,3,3,2,6,1992,2,1998
20,30,4,0,1,0,1986,0,1998
60,30,4,0,2,3,1987,0,1998
5,30,4,3,2,3,1985,0,1998
50,30,2,0,2,9,1994,0,1998
15,30,4,0,2,12,1994,0,1998
15,1,2,3,2,12,1998,1,1998
45,30,0,3,2,6,1991,0,1998
25,30,3,0,1,9,1989,0,1998
15,30,4,0,2,12,1994,0,1998
15,30,4,9,1,12,1989,0,1998
30,20,0,3,2,12,1998,1,1998
40,30,4,0,1,3,1988,0,1998
20,30,4,9,1,12,1991,0,1998
15,30,0,3,1,12,1992,0,1998
30,30,0,9,1,3,1981,0,1998
0,30,0,4,1,12,1992,0,1998
15,30,0,3,1,9,1991,0,1998
30,20,2,3,2,12,1993,1,1998
25,-1,3,3,2,12,1993,2,1998
40,-1,1,3,2,12,1993,2,1998
15,1,3,3,2,12,1998,1,1998
25,30,4,0,1,9,1981,0,1998
70,30,4,3,2,12,1989,0,1998
15,1,4,0,2,3,1995,1,1998
80,30,4,0,2,12,1986,0,1998
25,20,3,0,1,12,1998,1,1998
30,30,3,3,1,9,1978,0,1998
20,30,3,0,1,12,1994,0,1998
35,30,4,3,2,12,1992,0,1998
10,30,3,0,1,12,1990,0,1998
40,30,2,9,1,12,1990,0,1998
70,30,2,3,2,3,1993,0,1998
55,-1,4,3,2,12,1994,2,1998
10,30,2,3,2,9,1990,0,1998
5,30,0,0,2,12,1993,0,1998
20,30,4,0,1,12,1993,0,1998
75,30,2,3,2,3,1983,0,1998
30,30,4,3,2,12,1991,0,1998
20,30,4,0,1,12,1991,0,1998
15,30,0,9,2,3,1993,0,1998
35,30,2,3,1,9,1993,0,1998
70,30,0,3,2,6,1995,0,1998
15,30,2,9,1,3,1986,0,1998
10,30,2,3,1,9,1990,0,1998
60,30,4,3,1,3,1992,0,1998
25,1,4,0,2,3,1995,1,1998
15,30,3,3,2,9,1993,0,1998
35,1,4,0,1,12,1995,1,1998
5,1,4,3,2,12,1994,1,1998
25,20,0,3,2,6,1994,1,1998
20,30,4,0,1,0,1985,0,1998
50,30,1,0,1,3,1973,0,1998
55,20,0,3,2,3,1996,1,1998
10,1,2,3,1,12,1993,1,1998
80,30,3,9,2,9,1977,0,1998
35,20,3,0,2,0,1998,1,1998
15,30,4,0,1,3,1988,0,1998
25,30,3,0,1,12,1988,0,1998
20,30,0,0,1,0,1983,0,1998
20,30,0,9,2,9,1991,0,1998
55,30,4,3,2,12,1994,0,1998
45,30,4,3,2,9,1989,0,1998
75,30,4,0,2,12,1987,0,1998
15,-1,4,0,1,0,1998,2,1998
20,-1,3,3,1,3,1996,2,1998
70,-1,4,3,2,3,1994,2,1998
10,30,3,3,2,12,1991,0,1998
25,30,0,3,1,14,1995,0,1998
40,-1,0,3,2,12,1997,2,1998
70,30,4,3,2,12,1993,0,1998
60,1,2,3,2,12,1999,1,1998
65,30,3,3,2,12,1994,0,1998
35,30,3,3,2,9,1987,0,1998
90,30,4,0,2,9,1991,0,1998
35,30,4,3,2,3,1992,0,1998
85,30,4,0,1,12,1988,0,1998
65,9,2,3,2,12,1997,1,1998
10,30,1,0,1,9,1984,0,1998
30,-1,2,3,1,12,1993,2,1998
15,-1,3,3,1,12,1991,2,1998
30,1,3,3,1,12,1996,1,1998
15,-1,0,3,1,12,1985,2,1998
10,-1,2,3,2,12,1986,2,1998
10,-1,0,3,1,6,1991,2,1998
20,-1,3,3,1,12,1984,2,1998
15,-1,4,0,2,3,1986,2,1998
20,-1,0,3,1,9,1993,2,1998
80,-1,4,3,1,3,1993,2,1998
40,-1,4,0,2,12,1987,2,1998
15,-1,4,3,1,9,1988,2,1998
20,9,2,3,1,12,1997,1,1998
20,30,0,0,2,12,1987,0,1998
15,-1,0,3,2,12,1993,2,1998
25,30,4,3,2,12,1991,0,1998
20,-1,3,0,1,3,1995,2,1998
30,30,2,0,1,12,1973,0,1998
5,30,2,0,2,9,1991,0,1998
20,30,2,0,2,12,1995,0,1998
40,30,0,0,2,12,1985,0,1998
15,30,4,3,1,6,1990,0,1998
25,30,4,0,1,12,1991,0,1998
35,-1,0,3,1,12,1995,2,1998
20,1,2,3,1,12,1993,1,1998
40,30,4,0,2,3,1995,0,1998
15,30,3,0,2,9,1987,0,1998
30,30,4,0,1,14,1986,0,1998
50,30,4,0,1,6,1990,0,1998
80,30,0,3,2,9,1994,0,1998
30,30,3,9,2,9,1982,0,1998
15,30,2,0,2,6,1985,0,1998
75,30,4,0,2,12,1993,0,1998
10,30,4,0,1,12,1986,0,1998
20,30,3,3,2,9,1994,0,1998
10,30,1,0,1,3,1990,0,1998
25,30,2,0,2,9,1989,0,1998
15,30,4,0,1,0,1987,0,1998
15,30,2,3,2,6,1992,0,1998
0,30,0,3,2,12,1992,0,1998
15,30,2,3,1,12,1989,0,1998
30,30,1,3,2,9,1995,0,1998
15,2,3,3,2,9,1994,1,1998
20,30,4,0,2,9,1989,0,1998
40,30,2,3,1,12,1989,0,1998
80,30,4,3,1,12,1987,0,1998
0,20,3,0,2,6,1996,1,1998
20,20,4,0,1,3,1997,1,1998
40,20,3,0,1,12,1994,1,1998
25,30,3,0,2,12,1994,0,1998
25,30,4,0,1,3,1978,0,1998
75,30,4,3,2,3,1991,0,1998
20,30,3,3,2,12,1990,0,1998
15,-1,4,0,1,9,1991,2,1998
80,30,4,3,2,3,1976,0,1998
25,9,0,3,1,3,1995,1,1998
35,-1,4,0,1,3,1986,2,1998
25,-1,1,3,1,9,1994,2,1998
15,-1,2,3,2,9,1990,2,1998
20,-1,0,3,1,3,1990,2,1998
20,-1,1,3,1,9,1988,2,1998
15,-1,3,3,1,6,1988,2,1998
50,-1,1,3,1,3,1992,2,1998
55,1,3,3,2,9,1996,1,1998
35,9,2,3,1,9,1998,1,1998
60,-1,4,3,2,9,1987,2,1998
25,-1,4,3,2,9,1996,2,1998
15,30,4,3,1,12,1977,0,1998
15,-1,0,3,1,3,1996,2,1998
15,-1,4,3,1,3,1985,2,1998
10,-1,1,3,1,12,1983,2,1998
20,-1,4,0,1,6,1987,2,1998
20,-1,3,3,2,12,1986,2,1998
65,1,4,3,1,12,1997,1,1998
55,1,4,3,2,12,1998,1,1998
35,-1,3,3,2,12,1987,2,1998
60,-1,4,3,1,3,1986,2,1998
30,-1,4,0,2,12,1981,2,1998
15,-1,2,0,1,6,1988,2,1998
35,-1,4,0,1,12,1995,2,1998
75,-1,4,0,1,12,1990,2,1998
10,30,3,3,1,3,1989,0,1998
90,30,4,9,2,12,1997,0,1998
90,30,3,9,2,12,1993,0,1998
85,30,4,3,2,9,1991,0,1998
45,30,2,0,1,6,1987,0,1998
15,30,2,0,2,12,1991,0,1998
45,20,4,0,2,12,1996,1,1998
20,20,0,3,2,9,1996,1,1998
45,30,4,0,2,12,1984,0,1998
65,30,3,3,2,12,1990,0,1998
75,30,4,3,2,12,1988,0,1998
10,1,3,3,1,12,1997,1,1998
50,-1,4,9,2,3,1988,2,1998
15,30,1,3,1,12,1988,0,1998
15,30,4,0,2,12,1990,0,1998
75,30,4,3,2,12,1994,0,1998
35,30,4,0,1,12,1986,0,1998
40,1,4,3,1,3,1997,1,1999
55,1,0,3,1,9,1999,1,1999
5,30,4,3,1,12,1993,0,1999
15,30,3,0,1,12,1989,0,1999
60,30,4,3,2,6,1990,0,1999
45,30,4,0,2,9,1984,0,1999
15,20,2,3,1,3,1994,1,1999
15,20,3,3,2,6,1995,1,1999
15,20,1,3,1,12,1998,1,1999
50,30,3,0,1,0,1987,0,1999
25,30,0,0,2,6,1987,0,1999
75,30,4,3,1,3,1987,0,1999
50,30,4,3,2,3,1991,0,1999
65,1,1,3,2,9,1997,1,1999
20,20,2,3,2,13,1999,1,1999
35,30,3,3,2,6,1990,0,1999
25,-1,3,3,2,3,1984,2,1999
45,-1,4,0,2,12,1995,2,1999
30,-1,4,9,2,3,1997,2,1999
25,-1,4,3,1,3,1989,2,1999
25,30,0,3,1,9,1989,0,1999
15,30,0,0,1,12,1962,0,1999
10,30,4,0,2,14,1978,0,1999
60,30,1,3,1,12,1989,0,1999
50,1,4,3,1,14,1997,1,1999
50,30,4,3,2,12,1988,0,1999
15,20,3,3,1,12,1998,1,1999
15,1,4,0,1,12,1995,1,1999
25,30,4,0,1,12,1992,0,1999
20,30,2,3,1,12,1992,0,1999
15,20,2,3,1,12,1999,1,1999
60,30,0,9,2,12,1995,0,1999
15,30,4,0,1,12,1993,0,1999
25,30,3,3,2,12,1989,0,1999
80,30,3,3,2,12,1987,0,1999
20,20,0,9,2,12,1998,1,1999
45,20,4,3,1,3,1998,1,1999
25,30,4,3,1,3,1993,0,1999
70,30,4,3,2,3,1987,0,1999
25,30,0,3,1,12,1989,0,1999
70,1,2,0,2,3,1998,1,1999
20,1,2,0,2,12,1995,1,1999
25,30,2,0,1,12,1989,0,1999
0,30,0,3,1,3,1984,0,1999
65,30,3,3,1,3,1978,0,1999
35,30,3,0,1,9,1968,0,1999
70,30,4,3,2,3,1991,0,1999
85,30,3,0,1,12,1987,0,1999
50,20,0,3,1,6,1999,1,1999
15,30,2,3,2,12,1990,0,1999
30,30,3,0,1,9,1989,0,1999
15,30,3,0,1,12,1989,0,1999
20,20,0,0,1,0,1995,1,1999
20,30,4,0,1,3,1994,0,1999
15,20,1,3,2,12,1999,1,1999
35,1,2,3,2,12,1995,1,1999
80,30,4,3,2,9,1992,0,1999
70,1,4,3,2,9,1998,1,1999
15,30,1,3,2,3,1994,0,1999
15,30,0,3,2,12,1986,0,1999
55,1,2,3,2,12,1998,1,1999
80,20,4,3,2,9,1996,1,1999
90,20,0,3,1,12,1998,1,1999
5,30,3,3,1,12,1993,0,1999
35,30,2,3,2,9,1987,0,1999
70,30,4,3,2,12,1993,0,1999
20,30,0,0,2,12,1988,0,1999
15,30,0,3,2,9,1988,0,1999
50,30,4,0,2,3,1995,0,1999
60,1,3,3,1,3,1999,1,1999
75,30,3,3,2,9,1986,0,1999
35,30,2,9,2,12,1991,0,1999
20,30,4,0,1,0,2000,0,1999
25,20,2,3,2,9,1999,1,1999
30,30,4,9,1,3,1987,0,1999
15,30,4,3,1,12,1992,0,1999
15,30,0,3,2,9,1990,0,1999
30,30,2,9,1,12,1985,0,1999
55,1,2,3,2,12,1993,1,1999
45,30,4,3,2,9,1992,0,1999
25,30,3,0,1,12,1984,0,1999
40,1,3,3,2,3,2000,1,1999
40,20,4,3,2,6,1994,1,1999
20,30,2,3,2,3,1987,0,1999
20,30,3,0,1,9,1985,0,1999
60,30,2,3,2,12,1987,0,1999
15,20,2,3,1,12,1997,1,1999
65,1,4,3,2,9,1999,1,1999
15,1,4,0,1,3,1999,1,1999
25,20,2,3,1,6,1999,1,1999
85,20,3,3,2,9,1999,1,1999
15,30,0,3,1,12,1992,0,1999
25,30,2,3,1,0,1993,0,1999
20,30,0,0,1,12,1989,0,1999
20,20,1,3,2,12,1997,1,1999
15,30,3,3,2,12,1991,0,1999
40,20,2,0,2,12,2000,1,1999
15,20,1,3,1,12,1999,1,1999
60,-1,4,3,2,12,1996,2,1999
65,20,4,3,2,6,1995,1,1999
30,20,4,0,2,0,1995,1,1999
50,30,0,3,2,3,1997,0,1999
15,30,4,3,1,12,1994,0,1999
90,30,4,0,2,12,1992,0,1999
15,30,3,3,1,12,1985,0,1999
45,1,4,3,1,6,1996,1,1999
30,30,2,0,1,12,1987,0,1999
30,20,3,0,1,3,1995,1,1999
40,30,3,0,2,9,1981,0,1999
15,30,4,0,2,9,1990,0,1999
15,30,2,0,1,12,1968,0,1999
30,30,2,0,2,12,1977,0,1999
70,30,4,3,1,12,1994,0,1999
20,20,1,3,1,9,1992,1,1999
35,30,3,0,1,0,1995,0,1999
25,1,2,0,1,12,1995,1,1999
70,20,4,3,2,3,1989,1,1999
35,1,4,9,2,3,1996,1,1999
30,30,1,3,1,12,1998,0,1999
55,20,4,0,2,9,1996,1,1999
20,30,4,0,2,6,1987,0,1999
15,30,3,0,2,9,1989,0,1999
25,30,3,0,1,6,1987,0,1999
35,30,3,9,2,9,1994,0,1999
10,30,3,3,2,12,1988,0,1999
15,30,4,3,2,3,1988,0,1999
35,20,4,9,2,3,1997,1,1999
40,30,0,9,2,12,1993,0,1999
20,1,3,0,1,9,1995,1,1999
65,20,4,0,2,0,1996,1,1999
15,20,4,0,1,3,1999,1,1999
80,1,4,3,1,3,1996,1,1999
30,30,2,0,1,12,1988,0,1999
80,1,3,3,1,12,1999,1,1999
25,20,4,3,1,9,1995,1,1999
75,1,2,3,2,6,1996,1,1999
5,30,4,0,2,12,1985,0,1999
10,30,4,0,1,3,1998,0,1999
40,30,3,3,2,9,1995,0,1999
60,30,3,9,1,12,1983,0,1999
20,30,2,3,2,12,1990,0,1999
85,1,4,0,2,3,1995,1,1999
15,30,4,0,1,9,1988,0,1999
20,30,3,3,1,12,1994,0,1999
20,30,2,0,1,12,1993,0,1999
55,30,3,3,2,9,1997,0,1999
70,30,3,3,2,13,1999,0,1999
10,30,2,3,1,9,1995,0,1999
10,30,4,0,2,12,1988,0,1999
15,30,4,0,1,3,1988,0,1999
55,30,3,9,2,6,1996,0,1999
80,30,4,3,2,9,1992,0,1999
15,30,4,0,2,3,1994,0,1999
40,30,3,3,2,12,1985,0,1999
75,30,4,0,2,9,1989,0,1999
80,20,4,3,1,0,1998,1,1999
80,30,3,3,1,12,1984,0,1999
20,30,3,3,2,12,1990,0,1999
30,30,4,0,1,12,1986,0,1999
20,30,1,0,1,0,1993,0,1999
20,30,0,3,1,9,1989,0,1999
60,30,4,3,2,6,1999,0,1999
20,30,3,0,1,12,1969,0,1999
30,30,3,3,2,0,1993,0,1999
20,30,3,0,2,9,1990,0,1999
60,30,4,3,2,3,1986,0,1999
75,20,4,0,2,3,1999,1,1999
35,30,2,0,1,12,1993,0,1999
75,30,4,0,1,3,1985,0,1999
25,30,2,3,1,3,1995,0,1999
75,30,4,0,2,6,1990,0,1999
15,30,2,3,1,12,1986,0,1999
60,30,4,0,2,12,1995,0,1999
20,30,2,3,1,9,1986,0,1999
70,1,1,3,2,12,1998,1,1999
15,30,4,3,2,3,1989,0,1999
65,30,0,3,1,3,1990,0,1999
15,30,0,3,2,12,1993,0,1999
15,1,3,9,1,12,1997,1,1999
70,30,0,3,2,12,1990,0,1999
35,30,2,9,1,12,1990,0,1999
90,1,4,0,2,12,1998,1,1999
75,-1,4,9,2,12,1984,2,1999
15,-1,0,3,2,9,1991,2,1999
15,-1,4,3,2,12,1989,2,1999
65,-1,0,9,1,9,1990,2,1999
0,-1,4,4,2,3,1989,2,1999
30,-1,4,9,1,0,1988,2,1999
70,-1,4,3,2,12,1986,2,1999
50,-1,3,3,2,12,1981,2,1999
25,-1,1,3,2,12,1994,2,1999
15,-1,0,3,2,12,1988,2,1999
20,30,4,3,1,12,1991,0,1999
25,9,2,3,1,9,1990,1,1999
15,30,2,3,1,12,1989,0,1999
65,20,4,0,2,3,1995,1,1999
5,20,0,3,2,12,1994,1,1999
15,30,2,0,1,9,1990,0,1999
20,30,4,0,1,9,1986,0,1999
0,30,4,0,2,12,1993,0,1999
20,30,4,0,1,3,1987,0,1999
20,30,4,0,1,12,1990,0,1999
75,30,0,9,2,12,1995,0,1999
10,30,4,0,1,3,1987,0,1999
75,30,0,3,2,6,1993,0,1999
5,30,0,3,2,3,1986,0,1999
20,30,3,0,1,12,1993,0,1999
30,30,3,3,1,9,1988,0,1999
40,30,3,3,1,9,1989,0,1999
20,30,4,9,1,12,2005,0,1999
45,1,3,9,2,9,1999,1,1999
20,30,4,0,1,3,1985,0,1999
15,30,3,0,1,6,1990,0,1999
60,20,2,0,2,9,1997,1,1999
15,30,3,0,2,12,1983,0,1999
25,30,4,0,1,9,1985,0,1999
20,30,2,3,1,3,1988,0,1999
15,20,3,0,1,6,1997,1,1999
45,30,3,0,2,9,1992,0,1999
65,2,4,3,2,3,1994,1,1999
35,30,3,3,2,12,1992,0,1999
45,2,1,3,2,3,1999,1,1999
35,2,3,0,1,12,1996,1,1999
25,2,1,3,1,9,1997,1,1999
45,30,4,0,1,9,1993,0,1999
45,30,4,3,2,3,1978,0,1999
20,30,4,3,2,12,1987,0,1999
30,1,4,3,1,12,1994,1,1999
20,30,4,0,1,12,1983,0,1999
15,30,0,3,2,12,1985,0,1999
15,30,3,0,1,3,1989,0,1999
15,30,4,0,1,6,1988,0,1999
25,30,4,0,1,9,1983,0,1999
55,1,3,0,2,6,1997,1,1999
10,1,2,3,2,12,1997,1,1999
40,20,4,9,2,3,1998,1,1999
15,30,3,0,1,12,1988,0,1999
50,30,3,3,1,12,1981,0,1999
30,30,4,0,1,9,1989,0,1999
10,30,1,0,1,6,1988,0,1999
80,30,4,3,2,3,1990,0,1999
70,-1,3,3,2,12,1987,2,1999
15,20,4,0,1,6,1995,1,1999
30,30,1,3,2,3,1985,0,1999
15,30,4,3,2,12,1989,0,1999
35,20,0,3,1,6,1997,1,1999
30,30,4,0,1,14,1993,0,1999
40,30,4,3,2,3,1986,0,1999
15,30,2,3,1,12,1991,0,1999
65,30,4,3,1,9,1990,0,1999
15,30,0,3,1,9,1989,0,1999
20,30,3,0,1,14,1993,0,1999
15,30,3,0,1,12,1990,0,1999
25,30,4,0,1,12,1984,0,1999
40,30,4,0,1,12,1986,0,1999
15,30,2,0,1,0,1988,0,1999
20,30,0,3,2,12,1994,0,1999
35,30,4,0,2,12,1993,0,1999
20,30,4,0,2,12,1985,0,1999
10,30,2,3,2,0,1988,0,1999
5,30,0,3,1,12,1991,0,1999
50,1,4,0,2,12,1997,1,1999
20,30,4,3,1,12,1991,0,1999
20,30,2,3,1,12,1992,0,1999
25,20,4,3,2,3,1996,1,1999
15,30,3,0,2,9,1981,0,1999
35,30,3,0,1,12,1976,0,1999
15,30,3,0,1,12,1994,0,1999
20,30,3,0,1,12,1992,0,1999
20,30,4,9,1,9,1992,0,1999
15,30,3,3,1,12,1979,0,1999
25,30,1,0,1,0,1991,0,1999
15,30,4,3,2,9,1995,0,1999
0,30,4,4,2,3,1991,0,1999
20,30,4,0,1,12,1986,0,1999
0,30,0,4,2,12,1992,0,1999
15,30,2,0,2,12,1965,0,1999
75,30,1,3,2,3,1990,0,1999
15,30,4,0,1,0,1989,0,1999
40,30,3,0,2,12,1992,0,2000
10,30,3,3,1,9,1993,0,2000
20,30,3,3,1,3,1991,0,2000
10,30,3,3,1,6,1991,0,2000
40,20,3,3,1,9,1999,1,2000
25,30,4,3,2,12,1995,0,2000
15,30,4,0,2,0,1985,0,2000
75,30,4,0,2,12,1994,0,2000
15,20,4,3,1,13,1999,1,2000
15,30,4,0,2,6,1989,0,2000
35,30,2,9,1,3,1990,0,2000
50,1,2,3,2,3,2001,1,2000
40,20,3,3,2,6,2000,1,2000
65,20,0,3,2,12,1993,1,2000
15,30,2,9,1,9,1988,0,2000
25,30,4,0,1,0,1991,0,2000
55,30,4,0,2,14,1991,0,2000
55,30,4,0,2,3,1988,0,2000
45,30,2,3,2,12,1983,0,2000
10,20,0,3,1,12,1995,1,2000
15,1,4,3,2,3,1995,1,2000
45,30,4,9,1,12,1991,0,2000
20,20,4,0,1,3,1996,1,2000
15,30,4,3,2,12,1984,0,2000
30,30,4,3,1,0,1993,0,2000
40,30,4,0,2,12,1982,0,2000
10,30,0,3,1,12,1989,0,2000
10,30,2,3,1,9,1990,0,2000
15,30,2,3,2,3,1993,0,2000
10,30,4,3,2,12,1989,0,2000
45,20,0,3,1,12,1999,1,2000
20,30,4,3,2,9,1987,0,2000
25,20,0,3,2,12,1998,1,2000
30,1,1,3,1,12,2000,1,2000
15,9,1,9,2,12,1999,1,2000
60,30,4,3,2,12,1994,0,2000
20,30,4,3,2,12,1993,0,2000
30,30,4,3,2,3,1987,0,2000
50,30,3,3,2,3,1989,0,2000
90,30,0,3,2,3,1991,0,2000
25,20,2,3,2,6,1998,1,2000
25,20,4,0,2,0,1998,1,2000
55,20,2,3,2,6,2000,1,2000
55,20,4,0,2,3,1997,1,2000
25,30,4,0,1,0,1981,0,2000
35,30,4,0,1,12,1987,0,2000
20,1,3,0,1,12,1994,1,2000
20,30,2,3,1,12,1999,0,2000
15,30,2,0,1,12,1979,0,2000
35,1,2,3,1,9,1994,1,2000
25,1,3,0,2,3,1999,1,2000
50,30,3,3,2,12,1993,0,2000
20,1,3,0,2,3,1995,1,2000
25,1,0,3,2,3,1997,1,2000
5,1,0,3,1,12,1993,1,2000
30,1,0,3,1,9,2000,1,2000
30,30,4,0,1,9,1988,0,2000
10,30,4,3,2,12,1992,0,2000
80,30,4,0,1,9,1993,0,2000
15,30,4,0,1,12,1993,0,2000
15,1,1,3,1,3,1998,1,2000
80,30,4,3,1,12,1988,0,2000
15,30,4,0,1,3,1988,0,2000
75,30,4,3,1,3,1993,0,2000
30,20,4,0,2,3,1999,1,2000
15,1,2,3,2,12,1994,1,2000
30,1,4,0,1,3,1994,1,2000
70,30,3,3,2,3,1980,0,2000
35,20,2,0,1,0,1999,1,2000
30,1,4,0,1,12,1997,1,2000
5,30,1,3,1,12,1991,0,2000
10,20,3,9,2,0,1997,1,2000
15,30,2,3,1,6,1988,0,2000
20,30,0,3,2,12,1992,0,2000
5,1,4,0,1,12,1996,1,2000
40,1,1,3,2,3,1998,1,2000
40,1,4,3,2,12,1995,1,2000
15,30,2,9,1,6,1989,0,2000
10,1,3,3,1,3,1996,1,2000
35,30,2,9,2,12,1988,0,2000
15,1,2,3,2,3,1996,1,2000
55,1,2,3,2,9,1999,1,2000
30,20,2,3,1,12,1997,1,2000
60,20,2,3,2,9,2000,1,2000
45,30,2,3,2,12,1993,0,2000
10,30,3,3,1,0,1999,0,2000
20,1,4,0,1,12,1999,1,2000
35,20,0,3,2,3,1995,1,2000
30,30,1,0,2,0,1993,0,2000
50,30,4,3,1,6,1993,0,2000
20,30,4,9,2,12,1979,0,2000
40,30,2,3,2,12,1991,0,2000
20,30,4,0,2,12,1992,0,2000
40,30,4,0,2,0,1996,0,2000
25,30,4,3,1,6,1990,0,2000
30,20,4,3,2,3,1995,1,2000
65,30,4,3,1,12,1990,0,2000
25,30,4,0,2,12,1990,0,2000
75,1,4,0,2,12,1995,1,2000
10,20,4,3,1,3,1997,1,2000
40,1,4,3,2,3,1997,1,2000
40,30,4,0,1,12,1987,0,2000
5,30,4,0,2,9,1991,0,2000
50,30,4,3,2,3,1990,0,2000
55,1,3,3,2,3,2000,1,2000
50,30,4,3,2,9,1986,0,2000
35,30,2,3,1,0,1992,0,2000
20,30,1,9,1,9,1982,0,2000
45,30,4,3,2,12,1994,0,2000
15,20,0,9,1,12,1999,1,2000
40,20,3,0,1,12,1990,1,2000
30,30,0,3,1,12,1992,0,2000
20,30,4,3,2,3,1988,0,2000
10,30,4,3,2,9,1988,0,2000
30,2,4,3,1,3,1995,1,2000
25,30,3,0,1,9,1990,0,2000
15,30,3,3,1,12,1988,0,2000
75,30,2,3,2,12,1988,0,2000
55,20,4,0,1,12,2000,1,2000
35,20,4,0,1,9,1998,1,2000
65,30,3,9,1,12,1984,0,2000
25,30,2,3,2,3,1989,0,2000
85,30,4,3,2,12,1996,0,2000
40,30,4,3,2,12,1988,0,2000
20,1,4,3,2,12,1999,1,2000
60,1,4,9,1,3,1998,1,2000
55,20,3,3,1,0,1998,1,2000
40,1,1,3,2,9,2000,1,2000
25,30,2,9,1,12,1984,0,2000
60,30,2,3,1,12,1990,0,2000
15,30,4,0,2,3,1987,0,2000
75,30,4,0,2,6,1991,0,2000
85,1,4,3,2,3,1999,1,2000
35,30,4,3,2,9,1990,0,2000
65,30,0,3,2,6,1995,0,2000
60,30,2,0,1,12,1995,0,2000
30,30,4,0,2,9,1996,0,2000
15,30,0,3,1,12,1994,0,2000
