"""state""","""age""","""airbag""","""injury""","""restraint""","""sex""","""inimpact""","""modelyr""","""airbagAvail""","""airbagDeploy""","""Restraint""","""D_injury""","""D_airbagAvail""","""D_airbagDeploy""","""D_Restraint""","""year"""
1,15,1,3,0,2,3,1995,1,1,0,4,1,1,0,1998
1,999,20,0,3,2,12,1994,1,0,1,0,1,0,1,1998
1,10,30,3,0,2,12,1983,0,0,0,4,0,0,0,1998
1,15,30,4,3,2,12,1992,0,0,1,0,0,0,1,1998
1,51,30,3,0,1,0,1991,0,0,0,4,0,0,0,1998
1,999,30,0,3,1,12,1988,0,0,1,0,0,0,1,1998
1,15,30,3,0,1,9,1988,0,0,0,4,0,0,0,1998
1,68,30,4,0,2,12,1983,0,0,0,3,0,0,2,1998
1,80,30,4,0,2,12,1988,0,0,0,4,0,0,1,1998
1,999,30,0,0,2,12,1984,0,0,0,0,0,0,0,1998
1,27,30,3,0,2,12,1987,0,0,0,3,0,0,0,1998
1,14,30,3,0,2,12,1985,0,0,0,3,0,0,1,1998
1,74,30,4,3,1,12,1990,0,0,1,3,0,0,1,1998
1,37,20,2,3,2,0,1998,1,0,1,4,1,0,0,1998
1,999,30,0,8,2,9,1984,0,0,1,4,0,0,0,1998
1,39,30,3,0,2,12,1986,0,0,0,4,0,0,0,1998
1,16,30,4,0,1,3,1992,0,0,0,3,1,1,0,1998
1,32,30,4,0,2,12,1972,0,0,0,3,0,0,0,1998
1,999,30,0,3,2,6,1995,0,0,1,0,0,0,0,1998
1,36,30,4,0,1,12,1983,0,0,0,4,0,0,0,1998
1,29,30,4,0,1,12,1985,0,0,0,3,0,0,0,1998
1,77,30,2,0,2,12,1989,0,0,0,4,0,0,1,1998
1,999,20,0,3,1,6,1998,1,0,1,0,1,0,1,1998
1,44,30,3,3,1,9,1992,0,0,1,4,0,0,1,1998
1,21,1,4,0,2,12,1995,1,1,0,4,1,1,0,1998
1,41,1,3,3,2,12,1987,1,1,1,3,1,1,1,1998
1,19,30,3,0,1,9,1997,0,0,0,4,1,1,0,1998
1,16,30,4,0,1,6,1985,0,0,0,3,0,0,0,1998
1,75,20,3,3,2,9,1994,1,0,1,4,1,0,1,1998
1,999,30,0,3,1,9,1995,0,0,1,3,0,0,0,1998
1,23,30,4,3,2,6,1988,0,0,1,4,0,0,1,1998
1,31,30,4,0,1,9,1980,0,0,0,4,0,0,0,1998
1,10,30,3,3,2,12,1996,0,0,1,3,1,1,1,1998
1,999,30,0,0,1,9,1987,0,0,0,0,0,0,0,1998
1,25,30,4,0,1,12,1988,0,0,0,4,0,0,0,1998
1,21,99,4,99,1,3,1996,2,2,2,4,2,2,2,1998
1,72,1,4,3,2,6,1994,1,1,1,4,1,1,1,1998
1,83,30,4,0,2,3,1985,0,0,0,3,0,0,0,1998
1,13,1,3,0,2,12,1998,1,1,0,3,1,1,1,1998
1,8,30,2,3,1,12,1994,0,0,1,4,0,0,1,1998
1,999,30,0,0,1,12,1993,0,0,0,0,0,0,1,1998
1,19,30,3,3,1,12,1990,0,0,1,3,0,0,1,1998
1,25,30,3,0,1,3,1988,0,0,0,3,0,0,0,1998
1,14,30,3,0,1,6,1989,0,0,0,3,0,0,0,1998
1,70,30,4,0,2,3,1987,0,0,0,3,0,0,1,1998
1,0,30,4,0,1,9,1995,0,0,0,2,0,0,1,1998
1,17,30,2,0,2,9,1987,0,0,0,4,0,0,0,1998
1,2,30,3,4,1,9,1982,0,0,1,4,0,0,0,1998
1,20,30,3,0,1,3,1987,0,0,0,4,0,0,0,1998
1,45,30,3,3,1,12,1984,0,0,1,3,0,0,1,1998
1,42,1,3,3,2,12,1992,1,1,1,3,1,1,1,1998
1,18,30,3,0,1,9,1981,0,0,0,4,0,0,0,1998
1,34,1,4,3,2,12,1998,1,1,1,3,1,1,1,1998
1,54,30,3,3,1,9,1992,0,0,1,4,0,0,1,1998
1,52,1,4,3,2,3,1994,1,1,1,3,1,1,1,1998
1,69,30,4,3,2,6,1985,0,0,1,4,0,0,0,1998
1,24,30,4,0,1,12,1991,0,0,0,3,0,0,0,1998
1,6,30,3,3,1,12,1989,0,0,1,4,2,2,2,1998
1,999,30,0,1,2,9,1990,0,0,1,3,0,0,1,1998
1,40,30,4,0,1,12,1988,0,0,0,4,0,0,0,1998
1,48,20,3,3,2,9,1996,1,0,1,4,1,0,1,1998
1,33,30,4,0,2,12,1989,0,0,0,3,0,0,0,1998
1,28,30,3,0,1,12,1988,0,0,0,3,0,0,0,1998
1,70,30,4,3,2,12,1994,0,0,1,4,1,1,1,1998
1,999,30,0,0,1,9,1987,0,0,0,0,0,0,0,1998
1,36,30,4,3,2,3,1991,0,0,1,4,0,0,1,1998
1,999,30,0,3,2,12,1985,0,0,1,0,0,0,1,1998
1,19,30,3,0,1,6,1991,0,0,0,4,0,0,0,1998
1,23,30,4,0,1,3,1966,0,0,0,3,0,0,0,1998
1,21,1,3,3,2,9,1996,1,1,1,4,1,1,1,1998
1,15,30,3,0,1,0,1986,0,0,0,4,0,0,0,1998
1,76,30,3,0,2,12,1986,0,0,0,4,0,0,1,1998
1,46,1,3,3,2,12,1995,1,1,1,1,1,1,1,1998
1,50,30,3,0,1,6,1984,0,0,0,4,0,0,0,1998
1,59,30,1,3,2,6,1989,0,0,1,0,0,0,1,1998
1,999,1,0,3,2,9,1992,1,1,1,0,1,1,1,1998
1,43,1,1,3,2,9,1997,1,1,1,0,1,1,1,1998
1,21,30,2,0,1,3,1985,0,0,0,2,0,0,1,1998
1,32,30,4,0,2,12,1994,0,0,0,2,1,1,0,1998
1,47,30,3,0,1,12,1989,0,0,0,4,0,0,0,1998
1,17,30,4,0,2,12,1994,0,0,0,3,0,0,0,1998
1,999,30,0,3,1,9,1995,0,0,1,0,0,0,1,1998
1,11,30,3,0,1,9,1987,0,0,0,4,0,0,0,1998
1,24,30,3,3,2,3,1989,0,0,1,3,0,0,1,1998
1,999,30,0,3,2,9,1989,0,0,1,0,0,0,1,1998
1,18,30,4,0,1,3,1973,0,0,0,3,0,0,0,1998
1,15,30,3,3,2,9,1985,0,0,1,4,0,0,0,1998
1,11,30,4,1,2,12,1991,0,0,1,3,0,0,1,1998
1,34,30,3,0,1,3,1989,0,0,0,3,0,0,0,1998
1,23,30,4,3,1,3,1989,0,0,1,1,0,0,1,1998
1,999,30,0,0,2,6,1984,0,0,0,0,0,0,0,1998
1,999,30,0,3,1,6,1993,0,0,1,0,1,0,1,1998
1,35,30,4,0,2,12,1990,0,0,0,3,0,0,0,1998
1,77,30,4,0,1,12,1993,0,0,0,4,0,0,0,1998
1,28,1,3,3,2,12,1997,1,1,1,3,1,1,1,1998
1,40,30,3,0,1,9,1994,0,0,0,3,1,0,0,1998
1,18,1,4,0,1,12,1998,1,1,0,3,1,1,0,1998
1,18,30,4,0,2,12,1989,0,0,0,4,0,0,0,1998
1,18,30,3,0,1,9,1993,0,0,0,4,1,0,0,1998
1,4,30,4,0,2,12,1986,0,0,0,3,0,0,0,1998
1,19,30,4,0,1,12,1995,0,0,0,4,0,0,0,1998
1,17,30,4,0,1,12,1986,0,0,0,4,0,0,0,1998
1,999,30,0,0,2,9,1990,0,0,0,4,1,0,0,1998
1,17,30,3,0,1,9,1982,0,0,0,4,0,0,0,1998
1,15,1,3,3,1,3,1997,1,1,1,3,1,1,1,1998
1,60,30,3,3,2,12,1982,0,0,1,4,0,0,0,1998
1,12,30,4,0,2,3,1990,0,0,0,4,0,0,0,1998
1,28,30,4,0,2,3,1987,0,0,0,3,0,0,0,1998
1,26,1,3,0,1,12,1996,1,1,0,3,0,0,0,1998
1,19,1,2,0,2,3,1999,1,1,0,2,1,1,0,1998
1,7,30,4,0,1,12,1990,0,0,0,3,1,1,0,1998
1,46,20,4,3,2,3,1998,1,0,1,3,1,0,1,1998
1,53,20,3,3,2,12,1998,1,0,1,3,0,0,1,1998
1,12,30,4,0,1,3,1967,0,0,0,3,0,0,0,1998
1,54,20,4,3,2,3,1998,1,0,1,3,1,0,1,1998
1,34,20,3,3,2,6,1997,1,0,1,0,1,0,1,1998
1,8,30,3,0,2,12,1984,0,0,0,4,0,0,0,1998
1,16,30,4,0,2,0,1986,0,0,0,4,0,0,0,1998
1,35,30,4,0,1,3,1986,0,0,0,3,0,0,0,1998
1,18,30,4,0,1,3,1991,0,0,0,3,0,0,0,1998
1,42,1,3,3,1,12,1997,1,1,1,2,1,1,1,1998
1,65,30,4,3,2,12,1994,0,0,1,3,0,0,1,1998
1,26,99,3,99,1,9,1989,2,2,2,3,2,2,2,1998
1,999,30,0,3,1,12,1987,0,0,1,0,0,0,1,1998
1,999,30,0,3,2,12,1984,0,0,1,0,0,0,1,1998
1,35,1,4,0,1,3,1997,1,1,0,3,1,1,0,1998
1,68,30,4,0,1,9,1994,0,0,0,4,1,1,1,1998
1,6,30,3,0,1,0,1982,0,0,0,4,0,0,0,1998
1,16,30,4,0,1,0,1994,0,0,0,3,1,0,1,1998
1,37,30,4,0,1,6,1983,0,0,0,2,0,0,0,1998
1,19,1,3,3,1,9,1998,1,1,1,3,1,1,0,1998
1,45,30,3,3,2,6,1992,0,0,1,3,1,0,1,1998
1,999,30,0,3,2,6,1994,0,0,1,0,1,1,1,1998
1,29,30,3,0,1,12,1987,0,0,0,4,0,0,0,1998
1,999,30,0,3,1,12,1993,0,0,1,3,0,0,1,1998
1,8,1,4,0,2,9,1996,1,1,0,3,1,1,0,1998
1,17,30,3,0,2,6,1989,0,0,0,4,0,0,0,1998
1,28,30,3,3,1,12,1991,0,0,1,3,0,0,1,1998
1,18,30,3,0,1,9,1992,0,0,0,3,0,0,0,1998
1,32,30,3,3,2,9,1996,0,0,1,4,1,1,1,1998
1,22,30,4,0,1,9,1991,0,0,0,4,0,0,0,1998
1,34,30,4,0,1,0,1986,0,0,0,2,0,0,0,1998
1,37,30,4,0,1,3,1979,0,0,0,3,0,0,0,1998
1,15,1,3,3,2,12,1996,1,1,1,3,1,1,1,1998
1,46,30,4,0,1,12,1988,0,0,0,3,0,0,1,1998
1,47,30,3,0,1,12,1985,0,0,0,4,0,0,0,1998
1,999,30,0,3,1,9,1981,0,0,1,0,0,0,1,1998
1,58,20,2,3,2,9,1995,1,0,1,4,1,0,1,1998
1,51,30,4,0,2,12,1985,0,0,0,4,0,0,0,1998
1,17,30,4,0,1,12,1987,0,0,0,3,0,0,0,1998
1,31,30,4,0,1,9,1988,0,0,0,1,0,0,0,1998
1,18,30,4,3,2,12,1993,0,0,1,3,1,1,0,1998
1,66,20,4,3,2,3,1995,1,0,1,3,1,0,1,1998
1,20,30,3,3,1,9,1986,0,0,1,4,0,0,0,1998
1,14,30,4,0,1,3,1994,0,0,0,3,1,0,0,1998
1,32,30,3,0,1,3,1986,0,0,0,4,0,0,0,1998
1,9,30,3,0,1,12,1988,0,0,0,4,0,0,0,1998
1,20,30,2,3,2,12,1986,0,0,1,2,0,0,1,1998
1,19,30,3,0,1,3,1983,0,0,0,3,0,0,0,1998
1,999,30,0,3,2,9,1992,0,0,1,4,0,0,1,1998
1,24,1,3,3,1,12,1998,1,1,1,3,1,1,1,1998
1,21,30,3,0,1,99,1992,0,0,0,3,0,0,0,1998
1,16,1,3,0,1,9,1998,1,1,0,4,1,1,0,1998
1,53,30,4,3,1,3,1991,0,0,1,3,0,0,1,1998
1,10,30,4,0,1,3,1992,0,0,0,3,0,0,0,1998
1,28,20,4,0,1,6,1994,1,0,0,3,1,0,0,1998
1,28,30,3,0,1,12,1993,0,0,0,4,0,0,0,1998
1,62,1,3,3,2,12,1994,1,1,1,4,1,1,1,1998
1,7,30,4,3,2,0,1989,0,0,1,3,0,0,0,1998
1,999,1,0,3,1,12,1996,1,1,1,0,1,1,1,1998
1,65,1,3,3,1,3,1995,1,1,1,3,1,1,1,1998
1,20,30,3,0,1,12,1994,0,0,0,3,0,0,0,1998
1,81,30,4,3,2,9,1987,0,0,1,4,0,0,1,1998
1,999,20,0,3,2,9,1997,1,0,1,0,1,0,1,1998
1,30,30,4,3,1,9,1986,0,0,1,4,0,0,1,1998
1,75,30,3,3,2,9,1995,0,0,1,3,0,0,1,1998
1,17,30,4,0,1,3,1984,0,0,0,3,0,0,0,1998
1,65,30,3,3,2,12,1995,0,0,1,4,1,0,0,1998
1,77,30,4,0,1,12,1987,0,0,0,3,0,0,1,1998
1,78,30,4,0,2,12,1993,0,0,0,2,1,1,1,1998
1,56,30,4,0,2,3,1991,0,0,0,3,1,1,1,1998
1,18,30,4,0,1,3,1986,0,0,0,4,0,0,0,1998
1,23,30,4,1,1,3,1992,0,0,1,3,0,0,1,1998
1,0,30,3,4,1,12,1993,0,0,1,3,0,0,0,1998
1,57,30,4,0,1,12,1990,0,0,0,4,0,0,0,1998
1,74,30,4,0,2,12,1988,0,0,0,3,0,0,0,1998
1,12,30,3,0,2,12,1984,0,0,0,4,0,0,0,1998
1,10,99,3,99,1,9,1986,2,2,2,4,2,2,2,1998
1,39,30,4,0,1,3,1992,0,0,0,4,0,0,0,1998
1,21,1,4,0,1,6,1997,1,1,0,0,1,1,0,1998
1,999,30,0,3,2,12,1984,0,0,1,0,0,0,1,1998
1,999,30,0,3,2,14,1994,0,0,1,0,1,0,1,1998
1,14,30,4,0,1,9,1989,0,0,0,4,0,0,0,1998
1,28,1,4,0,2,12,1997,1,1,0,3,1,1,0,1998
1,16,30,4,0,2,3,1993,0,0,0,3,0,0,0,1998
1,20,30,3,99,1,12,1991,0,0,2,4,1,1,0,1998
1,50,20,3,3,2,0,1998,1,0,1,4,1,0,1,1998
1,9,30,1,3,1,12,1990,0,0,1,3,0,0,1,1998
1,22,30,3,3,1,12,1988,0,0,1,4,0,0,0,1998
1,999,30,0,3,2,12,1989,0,0,1,0,0,0,0,1998
1,55,30,3,3,2,13,1988,0,0,1,3,0,0,1,1998
1,999,30,0,3,1,12,1988,0,0,1,0,0,0,1,1998
1,32,30,3,3,1,12,1992,0,0,1,3,0,0,1,1998
1,14,30,4,0,1,12,1994,0,0,0,4,0,0,1,1998
1,25,30,3,0,2,9,1993,0,0,0,4,0,0,0,1998
1,40,30,3,3,2,12,1988,0,0,1,3,0,0,1,1998
1,16,30,4,2,2,12,1991,0,0,1,3,0,0,1,1998
1,17,30,3,3,1,12,1986,0,0,1,4,0,0,0,1998
1,16,30,3,0,1,3,1988,0,0,0,4,0,0,0,1998
1,22,30,3,0,1,12,1968,0,0,0,4,0,0,0,1998
1,16,30,3,0,1,0,1989,0,0,0,4,0,0,0,1998
1,999,1,0,3,1,12,1995,1,1,1,0,1,1,1,1998
1,1,30,4,4,1,12,1988,0,0,1,3,0,0,2,1998
1,10,30,3,0,1,9,1984,0,0,0,4,0,0,0,1998
1,18,30,4,0,1,12,1988,0,0,0,3,0,0,1,1998
1,16,30,3,0,1,12,1994,0,0,0,3,0,0,0,1998
1,999,20,0,3,1,12,1997,1,0,1,1,1,0,1,1998
1,21,30,3,3,2,12,1993,0,0,1,4,0,0,1,1998
1,23,20,4,0,1,6,1994,1,0,0,4,1,0,0,1998
1,23,30,4,0,1,12,1987,0,0,0,3,0,0,0,1998
1,999,30,0,3,1,12,1991,0,0,1,0,0,0,1,1998
1,25,30,3,3,1,3,1978,0,0,1,4,0,0,1,1998
1,56,30,3,3,2,9,1993,0,0,1,4,1,1,1,1998
1,999,30,0,3,1,12,1986,0,0,1,0,0,0,1,1998
1,24,30,3,0,1,3,1988,0,0,0,3,0,0,0,1998
1,21,30,4,1,1,3,1991,0,0,1,4,0,0,1,1998
1,999,30,0,3,2,12,1994,0,0,1,3,0,0,1,1998
1,54,1,3,0,2,12,1997,1,1,0,3,1,1,0,1998
1,27,20,3,0,1,12,1994,1,0,0,3,1,0,0,1998
1,41,20,3,3,2,12,1994,1,0,1,3,1,0,1,1998
1,37,1,3,0,2,12,1996,1,1,0,4,1,1,0,1998
1,23,30,3,3,2,12,1994,0,0,1,3,1,1,1,1998
1,62,1,4,3,2,9,1994,1,1,1,4,1,1,1,1998
1,85,30,4,3,2,12,1992,0,0,1,2,1,1,1,1998
1,16,30,3,0,2,12,1990,0,0,0,4,0,0,0,1998
1,36,30,1,3,1,6,1993,0,0,1,0,0,0,1,1998
1,22,1,4,0,1,0,1997,1,1,0,3,1,1,0,1998
1,55,30,4,0,2,0,1986,0,0,0,3,0,0,0,1998
1,31,30,3,3,2,9,1991,0,0,1,4,0,0,1,1998
1,27,30,3,0,1,12,1979,0,0,0,4,0,0,0,1998
1,22,30,3,0,1,9,1985,0,0,0,4,0,0,1,1998
1,12,1,3,0,1,12,1997,1,1,0,3,1,1,1,1998
1,9,20,0,3,2,12,1996,1,0,1,0,1,0,1,1998
1,88,30,4,0,1,12,1985,0,0,0,4,0,0,0,1998
1,76,30,4,0,2,6,1984,0,0,0,3,0,0,1,1998
1,38,30,3,3,2,12,1989,0,0,1,3,0,0,1,1998
1,31,30,4,0,1,3,1980,0,0,0,3,0,0,0,1998
1,29,30,4,0,2,12,1993,0,0,0,3,1,1,0,1998
1,16,1,1,3,1,12,1998,1,1,1,1,1,1,1,1998
1,77,1,3,3,2,12,1998,1,1,1,3,1,1,1,1998
1,47,1,3,3,2,12,1998,1,1,1,3,1,1,1,1998
1,11,30,3,0,1,12,1988,0,0,0,4,0,0,1,1998
1,18,20,4,3,2,3,1996,1,0,1,3,1,0,1,1998
1,36,1,3,3,2,12,1997,1,1,1,3,1,1,1,1998
1,23,30,3,0,2,9,1989,0,0,0,4,0,0,0,1998
1,999,30,0,3,2,12,1990,0,0,1,3,0,0,1,1998
1,37,30,4,3,2,12,1990,0,0,1,2,0,0,1,1998
1,9,20,4,3,1,6,1995,1,0,1,3,1,0,1,1998
1,999,30,0,0,2,12,1994,0,0,0,1,1,1,1,1998
1,999,30,0,3,2,12,1994,0,0,1,0,0,0,1,1998
1,2,30,3,4,2,12,1983,0,0,1,4,0,0,0,1998
1,20,30,3,3,2,12,1993,0,0,1,3,1,0,1,1998
1,51,30,4,3,1,12,1988,0,0,1,4,0,0,1,1998
1,22,1,3,3,2,12,1996,1,1,1,3,1,1,1,1998
1,45,1,4,3,1,0,1998,1,1,1,0,1,1,1,1998
1,999,1,0,3,1,12,1998,1,1,1,1,1,1,1,1998
1,13,30,3,0,1,9,1987,0,0,0,4,0,0,0,1998
1,24,30,2,0,2,9,1981,0,0,0,4,0,0,0,1998
1,24,30,2,3,2,12,1993,0,0,1,3,1,1,1,1998
1,30,30,3,0,1,9,1992,0,0,0,3,1,0,0,1998
1,18,30,4,0,1,9,1987,0,0,0,3,0,0,0,1998
1,19,30,3,0,1,12,1991,0,0,0,4,0,0,0,1998
1,37,1,3,0,1,12,1994,1,1,0,4,1,1,0,1998
1,22,1,3,0,2,9,1995,1,1,0,3,1,1,1,1998
1,14,30,4,3,2,3,1990,0,0,1,2,1,1,1,1998
1,18,30,4,0,2,12,1986,0,0,0,4,0,0,0,1998
1,14,30,3,0,1,99,1993,0,0,0,4,1,1,0,1998
1,17,30,3,0,1,9,1993,0,0,0,4,0,0,0,1998
1,25,30,3,3,1,9,1995,0,0,1,4,1,1,1,1998
1,29,30,3,0,1,3,1992,0,0,0,4,0,0,1,1998
1,999,30,0,3,1,6,1995,0,0,1,0,1,0,1,1998
1,13,99,3,99,2,9,1986,2,2,2,4,2,2,2,1998
1,59,30,4,3,1,9,1995,0,0,1,3,1,0,1,1998
1,21,30,3,3,1,3,1991,0,0,1,3,0,0,1,1998
1,17,30,4,0,2,12,1990,0,0,0,3,0,0,0,1998
1,12,30,3,3,1,9,1988,0,0,1,4,0,0,0,1998
1,21,30,4,3,2,3,1988,0,0,1,4,0,0,1,1998
1,999,1,0,3,2,12,1997,1,1,1,3,1,1,1,1998
1,65,30,3,0,2,3,1988,0,0,0,3,0,0,0,1998
1,9,30,0,3,1,9,1985,0,0,1,0,0,0,1,1998
1,15,30,1,0,2,6,1991,0,0,0,4,1,1,0,1998
1,76,30,4,3,2,12,1985,0,0,1,3,0,0,1,1998
1,13,30,3,0,1,12,1987,0,0,0,3,0,0,0,1998
1,74,30,3,3,2,6,1992,0,0,1,4,0,0,1,1998
1,19,1,3,3,1,12,1998,1,1,1,3,1,1,1,1998
1,17,1,3,3,2,12,1999,1,1,1,3,1,1,1,1998
1,999,30,0,0,1,9,1986,0,0,0,4,0,0,0,1998
1,15,1,3,0,2,12,1997,1,1,0,4,1,1,0,1998
1,18,30,3,3,1,3,1987,0,0,1,4,0,0,1,1998
1,14,1,3,3,2,12,1992,1,1,1,4,1,1,0,1998
1,17,30,1,3,2,6,1985,0,0,1,1,0,0,1,1998
1,59,30,4,0,2,0,1998,0,0,0,4,0,0,0,1998
1,36,30,3,0,2,12,1984,0,0,0,0,0,0,0,1998
1,64,30,4,3,2,3,1993,0,0,1,0,0,0,1,1998
1,999,30,0,3,2,12,1987,0,0,1,0,0,0,1,1998
1,46,30,3,3,1,12,1987,0,0,1,0,0,0,2,1998
1,33,30,4,3,2,9,1990,0,0,1,4,0,0,1,1998
1,9,30,3,3,2,12,1993,0,0,1,3,1,1,1,1998
1,54,30,3,3,2,12,1989,0,0,1,4,0,0,1,1998
1,78,30,3,3,2,3,1990,0,0,1,3,0,0,1,1998
1,14,30,4,0,2,12,1986,0,0,0,3,0,0,0,1998
1,19,30,1,3,2,6,1995,0,0,1,0,0,0,1,1998
1,999,30,0,3,2,12,1992,0,0,1,0,0,0,1,1998
1,999,30,0,0,1,12,1992,0,0,0,0,1,0,1,1998
1,999,30,0,3,2,14,1990,0,0,1,0,0,0,1,1998
1,22,30,4,0,2,12,1988,0,0,0,3,0,0,0,1998
1,999,20,0,3,1,6,1994,1,0,1,0,1,0,1,1998
1,78,30,4,0,2,99,1989,0,0,0,4,0,0,0,1998
1,77,30,4,0,1,12,1988,0,0,0,2,0,0,0,1998
1,28,30,3,3,1,12,1985,0,0,1,3,0,0,1,1998
1,39,30,1,3,2,12,1991,0,0,1,0,0,0,1,1998
1,80,30,4,99,2,3,1991,0,0,2,3,1,1,0,1998
1,23,30,3,99,1,12,1990,0,0,2,3,0,0,0,1998
1,78,30,4,3,2,3,1989,0,0,1,3,0,0,1,1998
1,999,30,0,3,1,6,1997,0,0,1,0,0,0,1,1998
1,25,20,3,0,1,12,1997,1,0,0,4,1,0,0,1998
2,28,30,4,0,2,3,1995,0,0,0,2,1,0,0,1998
2,15,30,3,0,1,9,1991,0,0,0,3,0,0,0,1998
2,18,30,0,3,2,9,1996,0,0,1,0,0,0,1,1998
2,15,30,3,0,1,12,1984,0,0,0,4,0,0,0,1998
2,70,1,3,1,2,12,1998,1,1,1,4,1,1,1,1998
2,67,1,4,3,2,12,1998,1,1,1,4,1,1,1,1998
2,22,30,3,0,1,3,1990,0,0,0,4,0,0,0,1998
2,20,20,4,3,2,3,1997,1,0,1,2,1,0,1,1998
2,21,30,0,3,1,12,1985,0,0,1,0,0,0,1,1998
2,19,30,4,3,1,12,1991,0,0,1,4,0,0,1,1998
2,29,30,4,0,1,12,1987,0,0,0,3,0,0,0,1998
2,61,30,4,1,1,12,1991,0,0,1,2,0,0,1,1998
2,29,1,2,3,2,12,1997,1,1,1,3,1,1,1,1998
2,37,30,4,0,1,9,1986,0,0,0,4,0,0,0,1998
2,24,30,3,0,2,0,1995,0,0,0,4,1,0,0,1998
2,56,20,1,3,2,6,1996,1,0,1,0,1,0,1,1998
2,24,30,2,3,1,9,1989,0,0,1,1,2,2,1,1998
2,19,30,0,3,1,9,1986,0,0,1,3,0,0,1,1998
2,16,30,3,3,2,12,1983,0,0,1,4,0,0,1,1998
4,73,30,4,0,1,12,1978,0,0,0,4,0,0,0,1998
4,73,30,4,3,2,9,1994,0,0,1,4,0,0,2,1998
4,40,30,3,3,2,12,1995,0,0,1,3,1,1,1,1998
4,15,30,2,99,2,12,1981,0,0,2,2,0,0,2,1998
4,16,30,3,0,1,9,1977,0,0,0,4,0,0,0,1998
4,69,30,0,3,1,9,1988,0,0,1,0,0,0,1,1998
4,68,1,4,3,2,9,1997,1,1,1,3,1,1,1,1998
4,59,1,3,3,1,12,1997,1,1,1,2,1,1,1,1998
4,66,29,2,3,2,99,1996,1,2,1,4,1,2,1,1998
4,18,29,2,3,2,9,1994,1,2,1,3,1,2,1,1998
4,76,29,4,3,2,3,1997,1,2,1,3,1,1,1,1998
4,19,30,4,0,2,9,1992,0,0,0,2,0,0,0,1998
4,22,30,3,99,1,12,1986,0,0,2,3,0,0,0,1998
4,21,29,4,0,2,6,1995,1,2,0,2,1,2,2,1998
4,24,30,4,0,1,3,1984,0,0,0,3,0,0,0,1998
4,71,1,4,3,2,12,1996,1,1,1,0,1,1,1,1998
4,17,30,0,3,2,6,1990,0,0,1,0,0,0,1,1998
4,2,30,0,4,1,12,1990,0,0,1,0,0,0,1,1998
